Job Title,Company,Location,Category
Business and Market Systems Trainee,Winrock International (Feed the Future Nepal USAID Agricultural Inputs),Pokhara,"Accounting and Finance, Development and Project, Development / INGO"
Request for Proposal (RFP) for Baseline Survey,DanChurchAid (DCA),"Kathmandu, Pokhara, Kaski","Development and Project, Expression of Interests, Tender Notice, Bid, Development / INGO"
Terms of Reference (TOR) for various position on Inclusive Education,Autism Care Chitwan Society,Jumla,"Education, Development and Project, Development / Administrative, NGO/INGO/Social work"
Expression of Interest (EOI) for the Consultancy Services,CSSD Kailali,Nepalgunj,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Expression of Interest (EOI),Voices of Women Media,"Nepalgunj, bharatpur, Dhangadhi","Development and Project, Expression of Interests, Tender Notice, Bid, Video Production"
Nutrition cum Quality Control Officer,Food For Life Nepal,Lalitpur,"Development and Project, Food Technology"
Agro-Forestry Officer / Junior Technical Assistant (JTAs),ECOHIMAL NEPAL,Chitwan,"Development and Project, Agriculture / Horticulture, Development / NGO"
"Invitation for Bids for the Procurement, Supply and Commissioning of Various Medical Equipments",International Nepal Fellowship,"Dhangadhi, Kailali","Development and Project, Expression of Interests, Tender Notice, Bid"
होस्टेल वार्डेन / आउटरिच ओर्कर,Shakti Samuha,Kathmandu,"Development and Project, Development / NGO"
Multiple Positions,KIRDARC-Nepal,Kathmandu,"Education, Development and Project, Development / Administrative"
Program Officer,Heifer International Nepal,"Kavrepalanchowk, Kalikot, Achham","Development and Project, Development / INGO"
Senior Program Manager,CREASION,Pokhara,"Development and Project, Environment and Natural Resource"
Business and Market Systems Trainee,Winrock International (Feed the Future Nepal USAID Agricultural Inputs),"Kathmandu, Pokhara, Kaski","Accounting and Finance, Development and Project, Development / INGO"
Request for Proposal (RFP) for Baseline Survey,DanChurchAid (DCA),Jumla,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / INGO"
Terms of Reference (TOR) for various position on Inclusive Education,Autism Care Chitwan Society,Nepalgunj,"Education, Development and Project, Development / Administrative, NGO/INGO/Social work"
Expression of Interest (EOI) for the Consultancy Services,CSSD Kailali,"Nepalgunj, bharatpur, Dhangadhi","Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Expression of Interest (EOI),Voices of Women Media,Lalitpur,"Development and Project, Expression of Interests, Tender Notice, Bid, Video Production"
Nutrition cum Quality Control Officer,Food For Life Nepal,Chitwan,"Development and Project, Food Technology"
Agro-Forestry Officer / Junior Technical Assistant (JTAs),ECOHIMAL NEPAL,"Dhangadhi, Kailali","Development and Project, Agriculture / Horticulture, Development / NGO"
"Invitation for Bids for the Procurement, Supply and Commissioning of Various Medical Equipments",International Nepal Fellowship,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid"
होस्टेल वार्डेन / आउटरिच ओर्कर,Shakti Samuha,Kathmandu,"Development and Project, Development / NGO"
Multiple Positions,KIRDARC-Nepal,"Kavrepalanchowk, Kalikot, Achham","Education, Development and Project, Development / Administrative"
Program Officer,Heifer International Nepal,Pokhara,"Development and Project, Development / INGO"
Senior Program Manager,CREASION,"Kathmandu, Pokhara, Kaski","Development and Project, Environment and Natural Resource"
Business and Market Systems Trainee,Winrock International (Feed the Future Nepal USAID Agricultural Inputs),Jumla,"Accounting and Finance, Development and Project, Development / INGO"
Request for Proposal (RFP) for Baseline Survey,DanChurchAid (DCA),Nepalgunj,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / INGO"
Terms of Reference (TOR) for various position on Inclusive Education,Autism Care Chitwan Society,"Nepalgunj, bharatpur, Dhangadhi","Education, Development and Project, Development / Administrative, NGO/INGO/Social work"
Expression of Interest (EOI) for the Consultancy Services,CSSD Kailali,Lalitpur,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Expression of Interest (EOI),Voices of Women Media,Chitwan,"Development and Project, Expression of Interests, Tender Notice, Bid, Video Production"
Nutrition cum Quality Control Officer,Food For Life Nepal,"Dhangadhi, Kailali","Development and Project, Food Technology"
Agro-Forestry Officer / Junior Technical Assistant (JTAs),ECOHIMAL NEPAL,Kathmandu,"Development and Project, Agriculture / Horticulture, Development / NGO"
"Invitation for Bids for the Procurement, Supply and Commissioning of Various Medical Equipments",International Nepal Fellowship,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid"
होस्टेल वार्डेन / आउटरिच ओर्कर,Shakti Samuha,"Kavrepalanchowk, Kalikot, Achham","Development and Project, Development / NGO"
Multiple Positions,KIRDARC-Nepal,Pokhara,"Education, Development and Project, Development / Administrative"
Program Officer,Heifer International Nepal,"Kathmandu, Pokhara, Kaski","Development and Project, Development / INGO"
Senior Program Manager,CREASION,Jumla,"Development and Project, Environment and Natural Resource"
Business and Market Systems Trainee,Winrock International (Feed the Future Nepal USAID Agricultural Inputs),Nepalgunj,"Accounting and Finance, Development and Project, Development / INGO"
Request for Proposal (RFP) for Baseline Survey,DanChurchAid (DCA),"Nepalgunj, bharatpur, Dhangadhi","Development and Project, Expression of Interests, Tender Notice, Bid, Development / INGO"
Terms of Reference (TOR) for various position on Inclusive Education,Autism Care Chitwan Society,Lalitpur,"Education, Development and Project, Development / Administrative, NGO/INGO/Social work"
Expression of Interest (EOI) for the Consultancy Services,CSSD Kailali,Chitwan,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Expression of Interest (EOI),Voices of Women Media,"Dhangadhi, Kailali","Development and Project, Expression of Interests, Tender Notice, Bid, Video Production"
Nutrition cum Quality Control Officer,Food For Life Nepal,Kathmandu,"Development and Project, Food Technology"
Agro-Forestry Officer / Junior Technical Assistant (JTAs),ECOHIMAL NEPAL,Kathmandu,"Development and Project, Agriculture / Horticulture, Development / NGO"
"Invitation for Bids for the Procurement, Supply and Commissioning of Various Medical Equipments",International Nepal Fellowship,"Kavrepalanchowk, Kalikot, Achham","Development and Project, Expression of Interests, Tender Notice, Bid"
होस्टेल वार्डेन / आउटरिच ओर्कर,Shakti Samuha,Pokhara,"Development and Project, Development / NGO"
Multiple Positions,KIRDARC-Nepal,"Kathmandu, Pokhara, Kaski","Education, Development and Project, Development / Administrative"
Program Officer,Heifer International Nepal,Jumla,"Development and Project, Development / INGO"
Senior Program Manager,CREASION,Nepalgunj,"Development and Project, Environment and Natural Resource"
Business and Market Systems Trainee,Winrock International (Feed the Future Nepal USAID Agricultural Inputs),"Nepalgunj, bharatpur, Dhangadhi","Accounting and Finance, Development and Project, Development / INGO"
Request for Proposal (RFP) for Baseline Survey,DanChurchAid (DCA),Lalitpur,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / INGO"
Terms of Reference (TOR) for various position on Inclusive Education,Autism Care Chitwan Society,Chitwan,"Education, Development and Project, Development / Administrative, NGO/INGO/Social work"
Expression of Interest (EOI) for the Consultancy Services,CSSD Kailali,"Dhangadhi, Kailali","Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Expression of Interest (EOI),Voices of Women Media,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid, Video Production"
Nutrition cum Quality Control Officer,Food For Life Nepal,Kathmandu,"Development and Project, Food Technology"
Agro-Forestry Officer / Junior Technical Assistant (JTAs),ECOHIMAL NEPAL,"Kavrepalanchowk, Kalikot, Achham","Development and Project, Agriculture / Horticulture, Development / NGO"
"Invitation for Bids for the Procurement, Supply and Commissioning of Various Medical Equipments",International Nepal Fellowship,Pokhara,"Development and Project, Expression of Interests, Tender Notice, Bid"
होस्टेल वार्डेन / आउटरिच ओर्कर,Shakti Samuha,"Kathmandu, Pokhara, Kaski","Development and Project, Development / NGO"
Multiple Positions,KIRDARC-Nepal,Jumla,"Education, Development and Project, Development / Administrative"
Program Officer,Heifer International Nepal,Nepalgunj,"Development and Project, Development / INGO"
Senior Program Manager,CREASION,"Nepalgunj, bharatpur, Dhangadhi","Development and Project, Environment and Natural Resource"
Business and Market Systems Trainee,Winrock International (Feed the Future Nepal USAID Agricultural Inputs),Lalitpur,"Accounting and Finance, Development and Project, Development / INGO"
Request for Proposal (RFP) for Baseline Survey,DanChurchAid (DCA),Chitwan,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / INGO"
Terms of Reference (TOR) for various position on Inclusive Education,Autism Care Chitwan Society,"Dhangadhi, Kailali","Education, Development and Project, Development / Administrative, NGO/INGO/Social work"
Expression of Interest (EOI) for the Consultancy Services,CSSD Kailali,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Expression of Interest (EOI),Voices of Women Media,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid, Video Production"
Nutrition cum Quality Control Officer,Food For Life Nepal,"Kavrepalanchowk, Kalikot, Achham","Development and Project, Food Technology"
Agro-Forestry Officer / Junior Technical Assistant (JTAs),ECOHIMAL NEPAL,Pokhara,"Development and Project, Agriculture / Horticulture, Development / NGO"
"Invitation for Bids for the Procurement, Supply and Commissioning of Various Medical Equipments",International Nepal Fellowship,"Kathmandu, Pokhara, Kaski","Development and Project, Expression of Interests, Tender Notice, Bid"
होस्टेल वार्डेन / आउटरिच ओर्कर,Shakti Samuha,Jumla,"Development and Project, Development / NGO"
Multiple Positions,KIRDARC-Nepal,Nepalgunj,"Education, Development and Project, Development / Administrative"
Program Officer,Heifer International Nepal,"Nepalgunj, bharatpur, Dhangadhi","Development and Project, Development / INGO"
Senior Program Manager,CREASION,Lalitpur,"Development and Project, Environment and Natural Resource"
Business and Market Systems Trainee,Winrock International (Feed the Future Nepal USAID Agricultural Inputs),Chitwan,"Accounting and Finance, Development and Project, Development / INGO"
Request for Proposal (RFP) for Baseline Survey,DanChurchAid (DCA),"Dhangadhi, Kailali","Development and Project, Expression of Interests, Tender Notice, Bid, Development / INGO"
